precinct,address,lon,lat
1,195 bway,-74.00976218,40.71085166
1,26 ann st,-74.0079618,40.71063583
1,35 ann st,-74.00718273,40.71059621
1,35 ann st,-74.00718273,40.71059621
1,35 ann st,-74.00718273,40.71059621
1,35 ann st,-74.00718273,40.71059621
1,21 dey st,-74.01077541,40.71059611
1,22 cortlat st,-74.01049709,40.71046563
1,22 cortlat st,-74.01049709,40.71046563
1,22 cortlat st,-74.01049709,40.71046563
1,49 ann st,-74.0066705,40.71040551
1,200 bway,-74.00896903,40.71039939
1,200 bway,-74.00896903,40.71039939
1,200 bway,-74.00896903,40.71039939
1,144 fulton st,-74.00857941,40.71038307
1,144 fulton st,-74.00857941,40.71038307
1,142 fulton st,-74.00849837,40.71034209
1,129 fulton st,-74.00738778,40.71032977
1,138 fulton st,-74.00834596,40.710265
1,138 fulton st,-74.00834596,40.710265
1,130 fulton st,-74.00807434,40.71021727
1,125 fulton st,-74.00716016,40.71021579
1,125 fulton st,-74.00716016,40.71021579
1,125 fulton st,-74.00716016,40.71021579
1,125 fulton st,-74.00716016,40.71021579
1,166 william st,-74.00558022,40.71016825
1,166 william st,-74.00558022,40.71016825
1,121 fulton st,-74.00704621,40.71015789
1,121 fulton st,-74.00704621,40.71015789
1,15 john st,-74.00881488,40.7101122
1,320 albany st,-74.01756909,40.71010753
1,100 gold st,-74.00324151,40.71010453
1,119 fulton st,-74.00693371,40.71010071
1,119 fulton st,-74.00693371,40.71010071
1,17 john st,-74.0086653,40.7100218
1,182 bway,-74.00936994,40.71002167
1,182 bway,-74.00936994,40.71002167
1,182 bway,-74.00936994,40.71002167
1,182 bway,-74.00936994,40.71002167
1,90 w st,-74.01425598,40.70999233
1,90 w st,-74.01425598,40.70999233
1,120 fulton st,-74.00756868,40.709913
1,140 washington st,-74.01397254,40.70984781
1,176 bway,-74.00950383,40.70983206
1,176 bway,-74.00950383,40.70983206
1,176 bway,-74.00950383,40.70983206
1,174 bway,-74.00972802,40.70979739
1,174 bway,-74.00972802,40.70979739
1,71 nassau st,-74.00850239,40.70975467
1,71 nassau st,-74.00850239,40.70975467
1,250 s e ave,-74.01613851,40.70974781
1,110 fulton st,-74.00712041,40.7096884
1,170 bway,-74.00983022,40.70953171
1,225 rector pl,-74.0159443,40.70950129
1,225 rector pl,-74.0159443,40.70950129
1,225 rector pl,-74.0159443,40.70950129
1,225 rector pl,-74.0159443,40.70950129
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,160 bway,-74.00975776,40.70930159
1,150 bway,-74.01007229,40.70918121
1,150 bway,-74.01007229,40.70918121
1,150 bway,-74.01007229,40.70918121
1,123 washington st,-74.01371158,40.70916147
1,123 washington st,-74.01371158,40.70916147
1,123 washington st,-74.01371158,40.70916147
1,67 liberty st,-74.00981919,40.70906725
1,59 liberty st,-74.00965773,40.70899031
1,59 liberty st,-74.00965773,40.70899031
1,59 liberty st,-74.00965773,40.70899031
1,59 liberty st,-74.00965773,40.70899031
1,90 trinity pl,-74.01246472,40.70897157
1,49 nassau st,-74.00924315,40.70895283
1,115 bway,-74.01147002,40.70893753
1,64 fulton st,-74.00534926,40.70873164
